641,431,664,427,703,420,750,420,789,422,826,427,858,433,853,476,821,470,788,465,750,463,706,463,669,470,646,474
527,518,929,509,931,570,529,579
615,615,647,618,693,623,723,624,763,621,802,620,834,617,835,663,803,666,765,667,721,670,689,669,643,664,611,661
1870,852,1920,852,1920,876,1870,876
1948,855,1991,855,1991,873,1948,873
1892,876,1991,876,1991,901,1892,901
1920,901,1941,901,1941,923,1920,923
532,1146,1423,1146,1423,1267,532,1267
478,1278,1476,1274,1477,1371,479,1375
951,1388,997,1388,997,1459,951,1459
599,1480,1341,1480,1341,1579,599,1579
